Intrinsic,LLC_W_R,LLC_C
mve_init_dims,0,0
mve_flusher,0,0
_mve_set_load_stride,0,0
_mve_set_store_stride,0,0
_mve_set_dim_count,0,0
_mve_set_dim_length,0,0
_mve_set_mask,0,0
_mve_set_active_element,0,0
_mve_unset_active_element,0,0
_mve_set_only_element,0,0
_mve_unset_only_element,0,0
_mve_set_all_elements,0,0
_mve_unset_all_elements,0,0
_mve_shirs_b,8,0
_mve_shirs_w,16,0
_mve_shirs_dw,32,0
_mve_shirs_qw,64,0
_mve_shiru_b,8,0
_mve_shiru_w,16,0
_mve_shiru_dw,32,0
_mve_shiru_qw,64,0
_mve_shil_b,8,0
_mve_shil_w,16,0
_mve_shil_dw,32,0
_mve_shil_qw,64,0
_mve_rotir_b,8,0
_mve_rotir_w,16,0
_mve_rotir_dw,32,0
_mve_rotir_qw,64,0
_mve_rotil_b,8,0
_mve_rotil_w,16,0
_mve_rotil_dw,32,0
_mve_rotil_qw,64,0
_mve_shrrs_b,32,0
_mve_shrrs_w,80,0
_mve_shrrs_dw,192,0
_mve_shrrs_qw,448,0
_mve_shrru_b,32,0
_mve_shrru_w,80,0
_mve_shrru_dw,192,0
_mve_shrru_qw,448,0
_mve_shrl_b,32,0
_mve_shrl_w,80,0
_mve_shrl_dw,192,0
_mve_shrl_qw,448,0
_mve_set1_b,8,0
_mve_set1_w,16,0
_mve_set1_dw,32,0
_mve_set1_qw,64,0
_mve_set1_hf,16,0
_mve_set1_f,32,0
_mve_set1_df,64,0
_mve_load_b,8,0
_mve_load_w,16,0
_mve_load_dw,32,0
_mve_load_qw,64,0
_mve_load_hf,16,0
_mve_load_f,32,0
_mve_load_df,64,0
_mve_dict_b,16,0
_mve_dict_w,24,0
_mve_dict_dw,40,0
_mve_dict_qw,72,0
_mve_store_b,8,0
_mve_store_w,16,0
_mve_store_dw,32,0
_mve_store_qw,64,0
_mve_store_hf,16,0
_mve_store_f,32,0
_mve_store_df,64,0
_mve_loadr_b,8,0
_mve_loadr_w,16,0
_mve_loadr_dw,32,0
_mve_loadr_qw,64,0
_mve_loadr_hf,16,0
_mve_loadr_f,32,0
_mve_loadr_df,64,0
_mve_storer_b,8,0
_mve_storer_w,16,0
_mve_storer_dw,32,0
_mve_storer_qw,64,0
_mve_storer_hf,16,0
_mve_storer_f,32,0
_mve_storer_df,64,0
_mve_add_b,0,8
_mve_add_w,0,16
_mve_add_dw,0,32
_mve_add_qw,0,64
_mve_add_hf,0,135
_mve_add_f,0,351
_mve_add_df,0,902
_mve_sub_b,0,16
_mve_sub_w,0,32
_mve_sub_dw,0,64
_mve_sub_qw,0,128
_mve_sub_hf,0,135
_mve_sub_f,0,351
_mve_sub_df,0,902
_mve_mul_b,0,42
_mve_mul_w,0,152
_mve_mul_dw,0,560
_mve_mul_qw,0,2144
_mve_mul_hf,0,90
_mve_mul_f,0,346
_mve_mul_df,0,1463
_mve_mulmodp_dw,0,1584
_mve_min_b,24,8
_mve_min_w,48,16
_mve_min_dw,96,32
_mve_min_qw,192,64
_mve_min_hf,48,16
_mve_min_f,96,32
_mve_min_df,192,64
_mve_max_b,24,8
_mve_max_w,48,16
_mve_max_dw,96,32
_mve_max_qw,192,64
_mve_max_hf,48,16
_mve_max_f,96,32
_mve_max_df,192,64
_mve_xor_b,0,8
_mve_xor_w,0,16
_mve_xor_dw,0,32
_mve_xor_qw,0,64
_mve_and_b,0,8
_mve_and_w,0,16
_mve_and_dw,0,32
_mve_and_qw,0,64
_mve_or_b,0,8
_mve_or_w,0,16
_mve_or_dw,0,32
_mve_or_qw,0,64
_mve_cmpeq_b,0,8
_mve_cmpeq_w,0,16
_mve_cmpeq_dw,0,32
_mve_cmpeq_qw,0,64
_mve_cmpeq_hf,0,16
_mve_cmpeq_f,0,32
_mve_cmpeq_df,0,64
_mve_cmpneq_b,0,8
_mve_cmpneq_w,0,16
_mve_cmpneq_dw,0,32
_mve_cmpneq_qw,0,64
_mve_cmpneq_hf,0,16
_mve_cmpneq_f,0,32
_mve_cmpneq_df,0,64
_mve_cmpgte_b,8,16
_mve_cmpgte_w,16,32
_mve_cmpgte_dw,32,64
_mve_cmpgte_qw,64,128
_mve_cmpgte_hf,16,32
_mve_cmpgte_f,32,64
_mve_cmpgte_df,64,128
_mve_cmpgt_b,8,8
_mve_cmpgt_w,16,16
_mve_cmpgt_dw,32,32
_mve_cmpgt_qw,64,64
_mve_cmpgt_hf,16,16
_mve_cmpgt_f,32,32
_mve_cmpgt_df,64,64
_mve_cvt_wtob,0,0
_mve_cvt_dwtow,0,0
_mve_cvt_dwtob,0,0
_mve_cvtu_btow,8,0
_mve_cvts_btow,8,0
_mve_cvtu_btodw,24,0
_mve_cvts_btodw,24,0
_mve_cvtu_wtodw,16,0
_mve_cvts_wtodw,16,0
_mve_cvtu_dwtoqw,32,0
_mve_cvts_dwtoqw,32,0
_mve_assign_b,8,0
_mve_assign_w,16,0
_mve_assign_dw,32,0
_mve_assign_qw,64,0
_mve_assign_hf,16,0
_mve_assign_f,32,0
_mve_assign_df,64,0
_mve_free_b,0,0
_mve_free_w,0,0
_mve_free_dw,0,0
_mve_free_qw,0,0
_mve_free_hf,0,0
_mve_free_f,0,0
_mve_free_df,0,0
_mve_copy_b,8,0
_mve_copy_w,16,0
_mve_copy_dw,32,0
_mve_copy_qw,64,0
_mve_copy_hf,16,0
_mve_copy_f,32,0
_mve_copy_df,64,0
