Intrinsic,LLC_W_R,LLC_C,,
gpic3_init_dims,0,0,,
gpic3_flusher,0,0,,
_pc3_set_load_stride,0,0,,
_pc3_set_store_stride,0,0,,
_pc3_set_dim_count,0,0,,
_pc3_set_dim_length,0,0,,
_pc3_set_mask,0,0,,
_pc3_set_active_element,0,0,,
_pc3_unset_active_element,0,0,,
_pc3_set_only_element,0,0,,
_pc3_unset_only_element,0,0,,
_pc3_set_all_elements,0,0,,
_pc3_unset_all_elements,0,0,,
_pc3_shirs_b,2,0,,
_pc3_shirs_w,2,0,,
_pc3_shirs_dw,2,0,,
_pc3_shirs_qw,2,0,,
_pc3_shiru_b,2,0,,
_pc3_shiru_w,2,0,,
_pc3_shiru_dw,2,0,,
_pc3_shiru_qw,2,0,,
_pc3_shil_b,2,0,,
_pc3_shil_w,2,0,,
_pc3_shil_dw,2,0,,
_pc3_shil_qw,2,0,,
_pc3_set1_b,1,0,,
_pc3_set1_w,1,0,,
_pc3_set1_dw,1,0,,
_pc3_set1_qw,1,0,,
_pc3_load_b,1,0,,
_pc3_load_w,1,0,,
_pc3_load_dw,1,0,,
_pc3_load_qw,1,0,,
_pc3_store_b,1,0,,
_pc3_store_w,1,0,,
_pc3_store_dw,1,0,,
_pc3_store_qw,1,0,,
_pc3_add_b,0,66,8n +2,8
_pc3_add_w,0,130,,16
_pc3_add_dw,0,258,,32
_pc3_add_qw,0,514,,64
_pc3_sub_b,0,66,8n +2,8
_pc3_sub_w,0,130,,16
_pc3_sub_dw,0,258,,32
_pc3_sub_qw,0,514,,64
_pc3_mul_b,0,288,4n2 ? 4n,8
_pc3_mul_w,0,1088,,16
_pc3_mul_dw,0,4224,,32
_pc3_mul_qw,0,16640,,64
_pc3_min_b,2,30,3n +6,8
_pc3_min_w,2,54,,16
_pc3_min_dw,2,102,,32
_pc3_min_qw,2,198,,64
_pc3_max_b,2,30,,8
_pc3_max_w,2,54,,16
_pc3_max_dw,2,102,,32
_pc3_max_qw,2,198,,64
_pc3_xor_b,0,4,,
_pc3_xor_w,0,4,,
_pc3_xor_dw,0,4,,
_pc3_xor_qw,0,4,,
_pc3_and_b,0,3,,
_pc3_and_w,0,3,,
_pc3_and_dw,0,3,,
_pc3_and_qw,0,3,,
_pc3_or_b,0,3,,
_pc3_or_w,0,3,,
_pc3_or_dw,0,3,,
_pc3_or_qw,0,3,,
_pc3_cmpeq_b,0,12,n +4,8
_pc3_cmpeq_w,0,20,,16
_pc3_cmpeq_dw,0,36,,32
_pc3_cmpeq_qw,0,68,,64
_pc3_cmpneq_b,0,12,,8
_pc3_cmpneq_w,0,20,,16
_pc3_cmpneq_dw,0,36,,32
_pc3_cmpneq_qw,0,68,,64
_pc3_cmpgte_b,0,30,3n +6,8
_pc3_cmpgte_w,0,54,,16
_pc3_cmpgte_dw,0,102,,32
_pc3_cmpgte_qw,0,198,,64
_pc3_cmpgt_b,0,30,,8
_pc3_cmpgt_w,0,54,,16
_pc3_cmpgt_dw,0,102,,32
_pc3_cmpgt_qw,0,198,,64
_pc3_cvt_wtob,0,0,,
_pc3_cvt_dwtow,0,0,,
_pc3_cvt_dwtob,0,0,,
_pc3_cvtu_btow,1,0,,
_pc3_cvts_btow,2,0,,
_pc3_cvtu_btodw,1,0,,
_pc3_cvts_btodw,2,0,,
_pc3_cvtu_wtodw,1,0,,
_pc3_cvts_wtodw,2,0,,
_pc3_cvtu_dwtoqw,1,0,,
_pc3_cvts_dwtoqw,2,0,,
_pc3_assign_b,4,0,4,
_pc3_assign_w,4,0,,
_pc3_assign_dw,4,0,,
_pc3_assign_qw,4,0,,
_pc3_copy_b,2,0,,
_pc3_copy_w,2,0,,
_pc3_copy_dw,2,0,,
_pc3_copy_qw,2,0,,
_pc3_redsum_b,0,13,N+5,8
_pc3_redsum_w,0,21,,16
_pc3_redsum_dw,0,37,,32
_pc3_redsum_qw,0,69,,64
