Intrinsic,LLC_W_R,LLC_C
_dc_write_b,8,0
_dc_write_w,16,0
_dc_write_dw,32,0
_dc_write_qw,64,0
_dc_write_f,32,0
_dc_write_df,64,0
_dc_read_b,8,0
_dc_read_w,16,0
_dc_read_dw,32,0
_dc_read_qw,64,0
_dc_read_f,32,0
_dc_read_df,64,0
_dc_mul_b,0,42
_dc_mul_w,0,152
_dc_mul_dw,0,560
_dc_mul_qw,0,2144
_dc_mul_f,0,346
_dc_mul_df,0,1463
_dc_add_b,0,8
_dc_add_w,0,16
_dc_add_dw,0,32
_dc_add_qw,0,64
_dc_add_f,0,223
_dc_add_df,0,902
_dc_min_b,24,8
_dc_min_w,48,16
_dc_min_dw,96,32
_dc_min_qw,192,64
_dc_min_f,96,32
_dc_min_df,192,64
_dc_max_b,24,8
_dc_max_w,48,16
_dc_max_dw,96,32
_dc_max_qw,192,64
_dc_max_f,96,32
_dc_max_df,192,64
_dc_cmp_b,8,8
_dc_cmp_w,16,16
_dc_cmp_dw,32,32
_dc_cmp_qw,64,64
_dc_cmp_f,32,32
_dc_cmp_df,64,64
_dc_load,0,0
_dc_store,0,0
