Intrinsic,LLC_W_R,LLC_C
gpic3_init_dims,0,0
gpic3_flusher,0,0
_pc3_set_load_stride,0,0
_pc3_set_store_stride,0,0
_pc3_set_dim_count,0,0
_pc3_set_dim_length,0,0
_pc3_set_mask,0,0
_pc3_set_active_element,0,0
_pc3_unset_active_element,0,0
_pc3_set_only_element,0,0
_pc3_unset_only_element,0,0
_pc3_set_all_elements,0,0
_pc3_unset_all_elements,0,0
_pc3_shirs_b,2,0
_pc3_shirs_w,4,0
_pc3_shirs_dw,8,0
_pc3_shirs_qw,16,0
_pc3_shiru_b,2,0
_pc3_shiru_w,4,0
_pc3_shiru_dw,8,0
_pc3_shiru_qw,16,0
_pc3_shil_b,2,0
_pc3_shil_w,4,0
_pc3_shil_dw,8,0
_pc3_shil_qw,16,0
_pc3_rotir_b,2,0
_pc3_rotir_w,4,0
_pc3_rotir_dw,8,0
_pc3_rotir_qw,16,0
_pc3_rotil_b,2,0
_pc3_rotil_w,4,0
_pc3_rotil_dw,8,0
_pc3_rotil_qw,16,0
_pc3_shrrs_b,8,0
_pc3_shrrs_w,20,0
_pc3_shrrs_dw,48,0
_pc3_shrrs_qw,112,0
_pc3_shrru_b,8,0
_pc3_shrru_w,20,0
_pc3_shrru_dw,48,0
_pc3_shrru_qw,112,0
_pc3_shrl_b,8,0
_pc3_shrl_w,20,0
_pc3_shrl_dw,48,0
_pc3_shrl_qw,112,0
_pc3_set1_b,2,0
_pc3_set1_w,4,0
_pc3_set1_dw,8,0
_pc3_set1_qw,16,0
_pc3_set1_hf,4,0
_pc3_set1_f,8,0
_pc3_set1_df,16,0
_pc3_load_b,2,0
_pc3_load_w,4,0
_pc3_load_dw,8,0
_pc3_load_qw,16,0
_pc3_load_hf,4,0
_pc3_load_f,8,0
_pc3_load_df,16,0
_pc3_dict_b,4,0
_pc3_dict_w,6,0
_pc3_dict_dw,10,0
_pc3_dict_qw,18,0
_pc3_store_b,2,0
_pc3_store_w,4,0
_pc3_store_dw,8,0
_pc3_store_qw,16,0
_pc3_store_hf,4,0
_pc3_store_f,8,0
_pc3_store_df,16,0
_pc3_loadr_b,2,0
_pc3_loadr_w,4,0
_pc3_loadr_dw,8,0
_pc3_loadr_qw,16,0
_pc3_loadr_hf,4,0
_pc3_loadr_f,8,0
_pc3_loadr_df,16,0
_pc3_storer_b,2,0
_pc3_storer_w,4,0
_pc3_storer_dw,8,0
_pc3_storer_qw,16,0
_pc3_storer_hf,4,0
_pc3_storer_f,8,0
_pc3_storer_df,16,0
_pc3_add_b,0,2
_pc3_add_w,0,4
_pc3_add_dw,0,8
_pc3_add_qw,0,16
_pc3_add_hf,0,34
_pc3_add_f,0,88
_pc3_add_df,0,226
_pc3_sub_b,0,4
_pc3_sub_w,0,8
_pc3_sub_dw,0,16
_pc3_sub_qw,0,32
_pc3_sub_hf,0,34
_pc3_sub_f,0,88
_pc3_sub_df,0,226
_pc3_mul_b,0,11
_pc3_mul_w,0,38
_pc3_mul_dw,0,140
_pc3_mul_qw,0,536
_pc3_mul_hf,0,23
_pc3_mul_f,0,87
_pc3_mul_df,0,366
_pc3_mulmodp_dw,0,396
_pc3_min_b,6,2
_pc3_min_w,12,4
_pc3_min_dw,24,8
_pc3_min_qw,48,16
_pc3_min_hf,12,4
_pc3_min_f,24,8
_pc3_min_df,48,16
_pc3_max_b,6,2
_pc3_max_w,12,4
_pc3_max_dw,24,8
_pc3_max_qw,48,16
_pc3_max_hf,12,4
_pc3_max_f,24,8
_pc3_max_df,48,16
_pc3_xor_b,0,2
_pc3_xor_w,0,4
_pc3_xor_dw,0,8
_pc3_xor_qw,0,16
_pc3_and_b,0,2
_pc3_and_w,0,4
_pc3_and_dw,0,8
_pc3_and_qw,0,16
_pc3_or_b,0,2
_pc3_or_w,0,4
_pc3_or_dw,0,8
_pc3_or_qw,0,16
_pc3_cmpeq_b,0,2
_pc3_cmpeq_w,0,4
_pc3_cmpeq_dw,0,8
_pc3_cmpeq_qw,0,16
_pc3_cmpeq_hf,0,4
_pc3_cmpeq_f,0,8
